model,original_model_name,archive_source,model_used,task_id,dataset_name,n_classes,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,accuracy_std,accuracy_n_runs,balanced_accuracy_mean,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,balanced_accuracy_std,balanced_accuracy_n_runs,f1_macro_mean,f1_macro_ci_lower,f1_macro_ci_upper,f1_macro_std,f1_macro_n_runs,f1_micro_mean,f1_micro_ci_lower,f1_micro_ci_upper,f1_micro_std,f1_micro_n_runs,f1_weighted_mean,f1_weighted_ci_lower,f1_weighted_ci_upper,f1_weighted_std,f1_weighted_n_runs,precision_macro_mean,precision_macro_ci_lower,precision_macro_ci_upper,precision_macro_std,precision_macro_n_runs,recall_macro_mean,recall_macro_ci_lower,recall_macro_ci_upper,recall_macro_std,recall_macro_n_runs,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_auc_std,roc_auc_n_runs
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,14969,GesturePhaseSegmentationProcessed,5,0.405,,,0.0,1,0.313,,,0.0,1,0.28,,,0.0,1,0.405,,,0.0,1,0.363,,,0.0,1,0.26,,,0.0,1,0.313,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,14970,har,6,0.225,,,0.0,1,0.213,,,0.0,1,0.151,,,0.0,1,0.225,,,0.0,1,0.152,,,0.0,1,0.208,,,0.0,1,0.213,,,0.0,1,0.56,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,15,breast-w,2,0.95,,,0.0,1,0.951,,,0.0,1,0.944,,,0.0,1,0.95,,,0.0,1,0.95,,,0.0,1,0.937,,,0.0,1,0.951,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,16,mfeat-karhunen,10,0.13,,,0.0,1,0.124,,,0.0,1,0.0545,,,0.0,1,0.13,,,0.0,1,0.0536,,,0.0,1,0.0472,,,0.0,1,0.124,,,0.0,1,0.569,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,167119,jungle_chess_2pcs_raw_endgame_complete,3,0.45,,,0.0,1,0.355,,,0.0,1,0.364,,,0.0,1,0.45,,,0.0,1,0.473,,,0.0,1,0.381,,,0.0,1,0.355,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,167120,numerai28.6,2,0.54,,,0.0,1,0.54,,,0.0,1,0.54,,,0.0,1,0.54,,,0.0,1,0.54,,,0.0,1,0.54,,,0.0,1,0.54,,,0.0,1,0.553,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,167125,Internet-Advertisements,2,0.52,,,0.0,1,0.391,,,0.0,1,0.398,,,0.0,1,0.52,,,0.0,1,0.547,,,0.0,1,0.413,,,0.0,1,0.391,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,167140,dna,3,0.34,,,0.0,1,0.334,,,0.0,1,0.3,,,0.0,1,0.34,,,0.0,1,0.324,,,0.0,1,0.312,,,0.0,1,0.334,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,167141,churn,2,0.805,,,0.0,1,0.547,,,0.0,1,0.546,,,0.0,1,0.805,,,0.0,1,0.807,,,0.0,1,0.546,,,0.0,1,0.547,,,0.0,1,0.51,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,18,mfeat-morphological,10,0.28,,,0.0,1,0.272,,,0.0,1,0.164,,,0.0,1,0.28,,,0.0,1,0.179,,,0.0,1,0.165,,,0.0,1,0.272,,,0.0,1,0.739,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,2074,satimage,6,0.105,,,0.0,1,0.102,,,0.0,1,0.107,,,0.0,1,0.105,,,0.0,1,0.108,,,0.0,1,0.117,,,0.0,1,0.102,,,0.0,1,0.389,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,2079,eucalyptus,5,0.149,,,0.0,1,0.2,,,0.0,1,0.0518,,,0.0,1,0.149,,,0.0,1,0.0385,,,0.0,1,0.0297,,,0.0,1,0.2,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,219,electricity,2,0.585,,,0.0,1,0.6,,,0.0,1,0.585,,,0.0,1,0.585,,,0.0,1,0.583,,,0.0,1,0.602,,,0.0,1,0.6,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,22,mfeat-zernike,10,0.085,,,0.0,1,0.0954,,,0.0,1,0.0665,,,0.0,1,0.085,,,0.0,1,0.0575,,,0.0,1,0.139,,,0.0,1,0.0954,,,0.0,1,0.437,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,23,cmc,3,0.37,,,0.0,1,0.364,,,0.0,1,0.358,,,0.0,1,0.37,,,0.0,1,0.396,,,0.0,1,0.399,,,0.0,1,0.364,,,0.0,1,0.527,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,28,optdigits,10,0.1,,,0.0,1,0.105,,,0.0,1,0.0728,,,0.0,1,0.1,,,0.0,1,0.0733,,,0.0,1,0.155,,,0.0,1,0.105,,,0.0,1,0.497,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,29,credit-approval,2,0.442,,,0.0,1,0.442,,,0.0,1,0.442,,,0.0,1,0.442,,,0.0,1,0.442,,,0.0,1,0.442,,,0.0,1,0.442,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3,kr-vs-kp,2,0.46,,,0.0,1,0.47,,,0.0,1,0.43,,,0.0,1,0.46,,,0.0,1,0.425,,,0.0,1,0.46,,,0.0,1,0.47,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3021,sick,2,0.73,,,0.0,1,0.526,,,0.0,1,0.471,,,0.0,1,0.73,,,0.0,1,0.804,,,0.0,1,0.507,,,0.0,1,0.526,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3022,vowel,11,0.141,,,0.0,1,0.132,,,0.0,1,0.0623,,,0.0,1,0.141,,,0.0,1,0.0664,,,0.0,1,0.046,,,0.0,1,0.132,,,0.0,1,0.534,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,31,credit-g,2,0.32,,,0.0,1,0.518,,,0.0,1,0.267,,,0.0,1,0.32,,,0.0,1,0.185,,,0.0,1,0.651,,,0.0,1,0.518,,,0.0,1,0.325,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,32,pendigits,10,0.115,,,0.0,1,0.12,,,0.0,1,0.0822,,,0.0,1,0.115,,,0.0,1,0.0797,,,0.0,1,0.0774,,,0.0,1,0.12,,,0.0,1,0.533,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3481,isolet,26,0.03,,,0.0,1,0.0385,,,0.0,1,0.00224,,,0.0,1,0.03,,,0.0,1,0.00175,,,0.0,1,0.00115,,,0.0,1,0.0385,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3549,analcatdata_authorship,4,0.355,,,0.0,1,0.294,,,0.0,1,0.205,,,0.0,1,0.355,,,0.0,1,0.22,,,0.0,1,0.228,,,0.0,1,0.294,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3560,analcatdata_dmft,6,0.219,,,0.0,1,0.221,,,0.0,1,0.155,,,0.0,1,0.219,,,0.0,1,0.153,,,0.0,1,0.194,,,0.0,1,0.221,,,0.0,1,0.559,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3573,mnist_784,10,0.1,,,0.0,1,0.1,,,0.0,1,0.0182,,,0.0,1,0.1,,,0.0,1,0.0182,,,0.0,1,0.01,,,0.0,1,0.1,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,37,diabetes,2,0.649,,,0.0,1,0.687,,,0.0,1,0.648,,,0.0,1,0.649,,,0.0,1,0.654,,,0.0,1,0.676,,,0.0,1,0.687,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3902,pc4,2,0.43,,,0.0,1,0.47,,,0.0,1,0.369,,,0.0,1,0.43,,,0.0,1,0.52,,,0.0,1,0.487,,,0.0,1,0.47,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3903,pc3,2,0.895,,,0.0,1,0.497,,,0.0,1,0.472,,,0.0,1,0.895,,,0.0,1,0.85,,,0.0,1,0.45,,,0.0,1,0.497,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3904,jm1,2,0.765,,,0.0,1,0.487,,,0.0,1,0.433,,,0.0,1,0.765,,,0.0,1,0.68,,,0.0,1,0.39,,,0.0,1,0.487,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3913,kc2,2,0.79,,,0.0,1,0.615,,,0.0,1,0.631,,,0.0,1,0.79,,,0.0,1,0.758,,,0.0,1,0.722,,,0.0,1,0.615,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3917,kc1,2,0.825,,,0.0,1,0.5,,,0.0,1,0.452,,,0.0,1,0.825,,,0.0,1,0.746,,,0.0,1,0.412,,,0.0,1,0.5,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,3918,pc1,2,0.89,,,0.0,1,0.484,,,0.0,1,0.471,,,0.0,1,0.89,,,0.0,1,0.866,,,0.0,1,0.459,,,0.0,1,0.484,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,43,spambase,2,0.575,,,0.0,1,0.596,,,0.0,1,0.56,,,0.0,1,0.575,,,0.0,1,0.553,,,0.0,1,0.621,,,0.0,1,0.596,,,0.0,1,0.668,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,45,splice,3,0.43,,,0.0,1,0.326,,,0.0,1,0.205,,,0.0,1,0.43,,,0.0,1,0.27,,,0.0,1,0.149,,,0.0,1,0.326,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,49,tic-tac-toe,2,0.578,,,0.0,1,0.579,,,0.0,1,0.565,,,0.0,1,0.578,,,0.0,1,0.588,,,0.0,1,0.572,,,0.0,1,0.579,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,53,vehicle,4,0.294,,,0.0,1,0.281,,,0.0,1,0.238,,,0.0,1,0.294,,,0.0,1,0.253,,,0.0,1,0.213,,,0.0,1,0.281,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,6,letter,26,0.045,,,0.0,1,0.0397,,,0.0,1,0.00597,,,0.0,1,0.045,,,0.0,1,0.0064,,,0.0,1,0.00338,,,0.0,1,0.0397,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,7592,adult,2,0.405,,,0.0,1,0.399,,,0.0,1,0.376,,,0.0,1,0.405,,,0.0,1,0.445,,,0.0,1,0.425,,,0.0,1,0.399,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9910,Bioresponse,2,0.575,,,0.0,1,0.557,,,0.0,1,0.556,,,0.0,1,0.575,,,0.0,1,0.577,,,0.0,1,0.556,,,0.0,1,0.557,,,0.0,1,0.53,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9946,wdbc,2,0.377,,,0.0,1,0.5,,,0.0,1,0.274,,,0.0,1,0.377,,,0.0,1,0.207,,,0.0,1,0.189,,,0.0,1,0.5,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9952,phoneme,2,0.665,,,0.0,1,0.618,,,0.0,1,0.61,,,0.0,1,0.665,,,0.0,1,0.673,,,0.0,1,0.607,,,0.0,1,0.618,,,0.0,1,0.681,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9957,qsar-biodeg,2,0.68,,,0.0,1,0.663,,,0.0,1,0.655,,,0.0,1,0.68,,,0.0,1,0.686,,,0.0,1,0.652,,,0.0,1,0.663,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9960,wall-robot-navigation,4,0.46,,,0.0,1,0.25,,,0.0,1,0.158,,,0.0,1,0.46,,,0.0,1,0.29,,,0.0,1,0.115,,,0.0,1,0.25,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9964,semeion,10,0.11,,,0.0,1,0.104,,,0.0,1,0.0512,,,0.0,1,0.11,,,0.0,1,0.0549,,,0.0,1,0.0549,,,0.0,1,0.104,,,0.0,1,0.518,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9971,ilpd,2,0.538,,,0.0,1,0.668,,,0.0,1,0.537,,,0.0,1,0.538,,,0.0,1,0.55,,,0.0,1,0.648,,,0.0,1,0.668,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9976,madelon,2,0.535,,,0.0,1,0.542,,,0.0,1,0.468,,,0.0,1,0.535,,,0.0,1,0.464,,,0.0,1,0.591,,,0.0,1,0.542,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9977,nomao,2,0.705,,,0.0,1,0.5,,,0.0,1,0.413,,,0.0,1,0.705,,,0.0,1,0.583,,,0.0,1,0.352,,,0.0,1,0.5,,,0.0,1,0.5,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9978,ozone-level-8hr,2,0.95,,,0.0,1,0.5,,,0.0,1,0.487,,,0.0,1,0.95,,,0.0,1,0.926,,,0.0,1,0.475,,,0.0,1,0.5,,,0.0,1,0.215,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9981,cnae-9,9,0.115,,,0.0,1,0.099,,,0.0,1,0.0387,,,0.0,1,0.115,,,0.0,1,0.0416,,,0.0,1,0.03,,,0.0,1,0.099,,,0.0,1,0.491,,,0.0,1
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,9985,first-order-theorem-proving,6,0.42,,,0.0,1,0.238,,,0.0,1,0.187,,,0.0,1,0.42,,,0.0,1,0.306,,,0.0,1,0.289,,,0.0,1,0.238,,,0.0,1,0.512,,,0.0,1
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,10093,banknote-authentication,2,0.78,,,0.0,1,0.769,,,0.0,1,0.772,,,0.0,1,0.78,,,0.0,1,0.776,,,0.0,1,0.791,,,0.0,1,0.769,,,0.0,1,0.769,,,0.0,1
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,10101,blood-transfusion-service-center,2,0.593,,,0.0,1,0.612,,,0.0,1,0.56,,,0.0,1,0.593,,,0.0,1,0.621,,,0.0,1,0.583,,,0.0,1,0.612,,,0.0,1,0.612,,,0.0,1
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,11,balance-scale,3,0.824,,,0.0,1,0.801,,,0.0,1,0.797,,,0.0,1,0.824,,,0.0,1,0.822,,,0.0,1,0.822,,,0.0,1,0.801,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,12,mfeat-factors,10,0.18,,,0.0,1,0.209,,,0.0,1,0.124,,,0.0,1,0.18,,,0.0,1,0.106,,,0.0,1,0.126,,,0.0,1,0.209,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,125920,dresses-sales,2,0.43,,,0.0,1,0.436,,,0.0,1,0.429,,,0.0,1,0.43,,,0.0,1,0.432,,,0.0,1,0.437,,,0.0,1,0.436,,,0.0,1,0.436,,,0.0,1
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,125922,texture,11,0.08,,,0.0,1,0.0909,,,0.0,1,0.0135,,,0.0,1,0.08,,,0.0,1,0.0119,,,0.0,1,0.00731,,,0.0,1,0.0909,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,14,mfeat-fourier,10,0.535,,,0.0,1,0.552,,,0.0,1,0.538,,,0.0,1,0.535,,,0.0,1,0.524,,,0.0,1,0.57,,,0.0,1,0.552,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,146195,connect-4,3,0.655,,,0.0,1,0.338,,,0.0,1,0.3,,,0.0,1,0.655,,,0.0,1,0.57,,,0.0,1,0.273,,,0.0,1,0.338,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,146800,MiceProtein,8,0.195,,,0.0,1,0.2,,,0.0,1,0.181,,,0.0,1,0.195,,,0.0,1,0.181,,,0.0,1,0.202,,,0.0,1,0.2,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,146817,steel-plates-fault,7,0.255,,,0.0,1,0.279,,,0.0,1,0.21,,,0.0,1,0.255,,,0.0,1,0.238,,,0.0,1,0.186,,,0.0,1,0.279,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,146819,climate-model-simulation-crashes,2,0.759,,,0.0,1,0.463,,,0.0,1,0.467,,,0.0,1,0.759,,,0.0,1,0.789,,,0.0,1,0.478,,,0.0,1,0.463,,,0.0,1,0.463,,,0.0,1
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,146820,wilt,2,0.785,,,0.0,1,0.554,,,0.0,1,0.517,,,0.0,1,0.785,,,0.0,1,0.826,,,0.0,1,0.523,,,0.0,1,0.554,,,0.0,1,0.554,,,0.0,1
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,146821,car,4,0.75,,,0.0,1,0.405,,,0.0,1,0.378,,,0.0,1,0.75,,,0.0,1,0.733,,,0.0,1,0.361,,,0.0,1,0.405,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,146822,segment,7,0.61,,,0.0,1,0.59,,,0.0,1,0.542,,,0.0,1,0.61,,,0.0,1,0.565,,,0.0,1,0.58,,,0.0,1,0.59,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,146824,mfeat-pixel,10,0.165,,,0.0,1,0.162,,,0.0,1,0.0946,,,0.0,1,0.165,,,0.0,1,0.102,,,0.0,1,0.113,,,0.0,1,0.162,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,146825,Fashion-MNIST,10,0.06,,,0.0,1,0.0571,,,0.0,1,0.0481,,,0.0,1,0.06,,,0.0,1,0.0526,,,0.0,1,0.0575,,,0.0,1,0.0571,,,0.0,1,,,,,0
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,14952,PhishingWebsites,2,0.42,,,0.0,1,0.422,,,0.0,1,0.419,,,0.0,1,0.42,,,0.0,1,0.422,,,0.0,1,0.423,,,0.0,1,0.422,,,0.0,1,0.422,,,0.0,1
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,14954,cylinder-bands,2,0.444,,,0.0,1,0.5,,,0.0,1,0.308,,,0.0,1,0.444,,,0.0,1,0.274,,,0.0,1,0.222,,,0.0,1,0.5,,,0.0,1,0.5,,,0.0,1
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,14965,bank-marketing,2,0.515,,,0.0,1,0.357,,,0.0,1,0.374,,,0.0,1,0.515,,,0.0,1,0.576,,,0.0,1,0.417,,,0.0,1,0.357,,,0.0,1,0.357,,,0.0,1
